Type,Name,Description,Skills
Project,SpaceX Falcon 9 Mission Analytics,Interactive analytics and ML models to predict the success of Falcon 9 first stage landings to optimize launch costs.,"Machine Learning, Supervised Learning, Scikit-learn, Web Scraping, Folium, Dash, Python"
Project,Crisis Management AI Agents with LLM,AI-powered workflow leveraging DeepSeek and LangChain to generate crisis management and legally safe press statements.,"Generative AI, NLP, LLM, LangChain, Streamlit, Python"
Project,Gym Tracker Mobile App,"Full-stack cross-platform mobile app for tracking gym workouts, released on Google Play Store and Apple App Store.","Mobile Development, React Native, Expo, Firebase, Google Cloud, Node.js, Javascript, Typescript, Health & Fitness"
Project,Snake AI: Reinforcement Learning in Action,Teaching an AI agent to play the classic Snake game using Deep Q-Learning (DQN).,"Machine Learning, Reinforcement Learning, Deep Learning, PyTorch, Pygame, Streamlit, Python"
Project,Fruits & Vege Recognition System,"A CNN model for classifying fruits and vegetables from images, deployed with a user-friendly interface.","Machine Learning, Supervised Learning, Deep Learning, CNN, TensorFlow, Keras, Streamlit, Python"
Project,Heart Disease Prediction ML Model,An SVM model designed to predict the likelihood of heart disease by analyzing key health indicators.,"Machine Learning, Supervised Learning, Scikit-learn, Streamlit, Python, Health & Fitness"
Project,Breast Cancer Classification,Predicting whether breast cancer tumors are malignant or benign using a neural network model to improve early detection and diagnosis.,"Machine Learning, Supervised Learning, Deep Learning, TensorFlow, Keras, Streamlit, Python"
Project,IMDB Movie Sentiment Analysis,A deep learning model utilizing Long Short-Term Memory (LSTM) networks to classify movie reviews as positive or negative.,"Machine Learning, Supervised Learning, NLP, Deep Learning, RNN, TensorFlow, Keras, Streamlit, Python"
Project,UK Online Retail Customer Segmentation,Analyzing customer behavior and segmenting customers using RFM analysis and K-means clustering to help businesses make data-driven marketing decisions.,"Machine Learning, Unsupervised Learning, Scikit-learn, Plotly, Streamlit, Python"
Project,Tableau Data Visualizations,A collection of interactive Tableau dashboards for analyzing and visualizing business data across various domains.,"Data Analytics, Business Intelligence, Tableau"
Project,Footballer Facial Recognition,Real-time facial recognition system for identifying footballers using optimized deep learning techniques.,"Machine Learning, Computer Vision, Deep Learning, OpenCV, Python"
Project,Credit Card Customer Attrition Analysis,A Tableau-based capstone project to identify key credit card attrition drivers and improve retention strategies.,"Data Analytics, Data Visualization, Business Intelligence, Tableau"
Project,TP Risk Predictor,"Random Forest ML model for automating transfer pricing risk classification, enhancing compliance for multinational corporations.","Machine Learning, Supervised Learning, Scikit-learn, Python, Finance, Tax"
Project,Boston House Price Prediction,"XGBoost model for predicting house prices in Boston based on key real estate features, deployed with Flask.","Machine Learning, Supervised Learning, Scikit-learn, Flask, Python"
Project,SG Car Price Predictor,XGBoost machine learning model for predicting used car prices in Singapore's unique market.,"Machine Learning, Supervised Learning, Scikit-learn, React, Next.js, Flask, Heroku, Python, Javascript"
